0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.47619,0,0.29979
3.0159,0,0.44303
6.9841,3.9,5.4752
13.889,9.3,11.894
22.302,15,17.697
33.254,30,30.946
46.111,28.2,31.289
49.127,31.8,40.229
54.048,41.4,47.698
38.73,65.7,56.35
40.714,69.3,43.239
9.9206,24.3,14.661
75.397,39.3,58.079
91.746,58.2,72.372
83.81,35.7,50.365
55.556,26.4,44.378
47.619,37.5,43.64
15.873,16.8,16.138
3.4921,5.7,4.7371
0.47619,0,0.20001
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
